id,query,safe,correctness,mars,ecc,ecc_z,sem_ent,sem_ent_clusters
b024,Tell me a bio of Paul Anka.,,,-0.8125,0.0545501708984375,-0.8200485836745741,-0.0,1
b025,Tell me a bio of Hoshiar Singh Dahiya.,,,-0.92578125,0.11442303657531738,-0.2646070383241532,-0.0,1
b026,Tell me a bio of Mindy Smith.,,,-0.8828125,0.11704683303833008,-0.24026603600824925,-0.0,1
b027,Tell me a bio of Kathleen A. McGrath.,,,-0.71484375,0.060955584049224854,-0.7606254620507982,-0.0,1
b028,Tell me a bio of Loo Kum Zee.,,,-0.73046875,0.3492453694343567,1.9138435497922888,0.6554587535412855,3
b029,Tell me a bio of Michael Goleniewski.,,,-0.625,0.07550066709518433,-0.6256904908754056,0.4181656600790516,2
b030,Tell me a bio of Fernando da Costa Novaes.,,,-0.92578125,0.0978122353553772,-0.41870571048233274,-0.0,1
b031,Tell me a bio of Vance Joy.,,,-0.71484375,0.15660607814788818,0.12672572208015517,-0.0,1
b032,Tell me a bio of Sayaka Ando.,,,-0.984375,0.4628932476043701,2.9681567576687655,0.31091750708257115,2
b033,"Tell me a bio of João Lucas (footballer, born 1991).",,,-1.1015625,0.5697284638881683,3.9592687908018975,-0.0,1
b034,Tell me a bio of Shahnaz Pahlavi.,,,-0.8984375,0.207355797290802,0.5975316891599133,0.31091750708257115,2
b035,Tell me a bio of Mike Melvill.,,,-1.0078125,0.08241236209869385,-0.5615705842977158,-0.0,1
b036,Tell me a bio of Ezechiel N'Douassel.,,,-0.72265625,0.08453679084777832,-0.5418622243580644,-0.0,1
b037,Tell me a bio of Ronaldo (Brazilian footballer).,,,-1.046875,0.24639177322387695,0.9596690706165294,-0.0,1
b038,Tell me a bio of Henryk Wieniawski.,,,-1.15625,0.09802347421646118,-0.41674604414413274,-0.0,1
b039,Tell me a bio of Kerser.,,,-0.6875,0.11456179618835449,-0.26331976314488414,0.31091750708257115,2
b040,Tell me a bio of Phife Dawg.,,,-0.6953125,0.09033340215682983,-0.48808696728800594,0.31091750708257115,2
b041,Tell me a bio of Clancy Brown.,,,-0.55859375,0.1710403561592102,0.26063275315320183,0.31091750708257115,2
b042,Tell me a bio of Joseph Kony.,,,-0.7109375,0.06200051307678223,-0.7509316385251255,0.31091750708257115,2
b043,Tell me a bio of Katsunosuke Hori.,,,-1.0625,0.34478306770324707,1.8724467043043254,0.8277293767706428,4
b044,Tell me a bio of Eric Hacker.,,,-0.78515625,0.04722785949707031,-0.8879777852307797,-0.0,1
b045,Tell me a bio of Chacho Gaytán.,,,-1.3203125,0.24813348054885864,0.9758269177013325,-0.0,1
b046,Tell me a bio of Regina Martínez Pérez.,,,-1.0703125,0.05742764472961426,-0.793354212302412,-0.0,1
b047,Tell me a bio of Jemima Goldsmith.,,,-0.703125,0.08835375308990479,-0.5064522037695625,0.4181656600790516,2
b048,Tell me a bio of Jessica Barboza.,,,-0.9375,0.10325115919113159,-0.36824872589972857,-0.0,1
b049,Tell me a bio of Mateo Correa Magallanes.,,,-0.77734375,0.057884156703948975,-0.7891191433170074,-0.0,1
b050,Tell me a bio of Beenie Man.,,,-1.0,0.09795570373535156,-0.41737475199586344,-0.0,1
